,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
118473,118474,Iep (cultuurvariëteit),478475,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.000667 52.357284),POINT(52.357284 5.000667),5.000667,52.357284,
118474,118475,Iep (cultuurvariëteit),478474,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,1,POINT(5.000632 52.357341),POINT(52.357341 5.000632),5.000632,52.357341,
118475,118476,Iep (cultuurvariëteit),478473,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Ulmus,Ulmus,M,2,POINT(5.000534 52.357354),POINT(52.357354 5.000534),5.000534,52.357354,
118493,118494,Gewone plataan,479014,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.997108 52.354306),POINT(52.354306 4.997108),4.997108,52.354306,
118494,118495,Gewone plataan,479013,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.997607 52.354041),POINT(52.354041 4.997607),4.997607,52.354041,
118495,118496,Gewone plataan,479012,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.998937 52.353333),POINT(52.353333 4.998937),4.998937,52.353333,
118496,118497,Gewone plataan,479011,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.995551 52.354993),POINT(52.354993 4.995551),4.995551,52.354993,
118497,118498,Gewone plataan,479010,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.990924 52.357454),POINT(52.357454 4.990924),4.990924,52.357454,
118498,118499,Gewone plataan,479009,Platanus hispanica,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,1,POINT(4.992063 52.356848),POINT(52.356848 4.992063),4.992063,52.356848,
118499,118500,Gewone plataan,479008,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.992728 52.356494),POINT(52.356494 4.992728),4.992728,52.356494,
118500,118501,Gewone plataan,479007,Platanus hispanica,Boom niet vrij uitgroeiend,tot 6 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,1,POINT(4.993558 52.356052),POINT(52.356052 4.993558),4.993558,52.356052,
118501,118502,Gewone plataan,479006,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.999341 52.352981),POINT(52.352981 4.999341),4.999341,52.352981,
118502,118503,Gewone plataan,479005,Platanus hispanica,Boom niet vrij uitgroeiend,9 tot 12 m.,2000,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,3,POINT(4.994881 52.355237),POINT(52.355237 4.994881),4.994881,52.355237,
118503,118504,Gewone plataan,479004,Platanus hispanica,Boom niet vrij uitgroeiend,6 tot 9 m.,2005,Gemeente Amsterdam,Stadsdeel Oost,Platanus,Platanus,M,2,POINT(4.991708 52.357169),POINT(52.357169 4.991708),4.991708,52.357169,
