,OBJECTNUMMER,Soortnaam_NL,Boomnummer,Soortnaam_WTS,Boomtype,Boomhoogte,Plantjaar,Eigenaar,Beheerder,Categorie,SOORT_KORT,SDVIEW,RADIUS,WKT_LNG_LAT,WKT_LAT_LNG,LNG,LAT,Unnamed: 17
25150,235151,Hollandse iep (cultuurvariëteit),340894,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,12 tot 15 m.,1940,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.898721 52.369234),POINT(52.369234 4.898721),4.898721,52.369234,
25153,235154,Iep (cultuurvariëteit),340891,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897334 52.369241),POINT(52.369241 4.897334),4.897334,52.369241,
25155,235156,Iep (cultuurvariëteit),340889,Ulmus `Plantijn`,Boom niet vrij uitgroeiend,15 tot 18 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.898515 52.369271),POINT(52.369271 4.898515),4.898515,52.369271,
25158,235159,Huntingdon-iep,340886,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,12 tot 15 m.,1960,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.900015 52.369311),POINT(52.369311 4.900015),4.900015,52.369311,
25159,235160,Iep (cultuurvariëteit),340885,Ulmus `Lobel`,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.897216 52.369112),POINT(52.369112 4.897216),4.897216,52.369112,
25160,235161,Hollandse iep (cultuurvariëteit),340884,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,15 tot 18 m.,1940,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.898408 52.369153),POINT(52.369153 4.898408),4.898408,52.369153,
25211,235212,Gewone plataan,339759,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.899994 52.370095),POINT(52.370095 4.899994),4.899994,52.370095,
25212,235213,Gewone plataan,339758,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.900049 52.370098),POINT(52.370098 4.900049),4.900049,52.370098,
25214,235215,Gewone plataan,339756,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.899944 52.370101),POINT(52.370101 4.899944),4.899944,52.370101,
25216,235217,Hollandse iep (cultuurvariëteit),339754,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,15 tot 18 m.,1950,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.897634 52.370094),POINT(52.370094 4.897634),4.897634,52.370094,
25217,235218,Gewone plataan,339753,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.900098 52.370108),POINT(52.370108 4.900098),4.900098,52.370108,
25218,235219,Gewone plataan,339752,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.900142 52.370125),POINT(52.370125 4.900142),4.900142,52.370125,
25367,235368,Hollandse iep (cultuurvariëteit),340883,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,15 tot 18 m.,1940,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.898612 52.369117),POINT(52.369117 4.898612),4.898612,52.369117,
25368,235369,Valse acacia,340882,Robinia pseudoacacia,Boom niet vrij uitgroeiend,12 tot 15 m.,1985,Gemeente Amsterdam,Stadsdeel Centrum,Robinia,Robinia,A,4,POINT(4.899683 52.369123),POINT(52.369123 4.899683),4.899683,52.369123,
25426,235427,Gewone plataan,339749,Platanus hispanica,Leiboom,tot 6 m.,1992,Gemeente Amsterdam,Stadsdeel Centrum,Platanus,Platanus,A,1,POINT(4.900178 52.370148),POINT(52.370148 4.900178),4.900178,52.370148,
25434,235435,Iep (cultuurvariëteit),339741,Ulmus `Dodoens`,Boom niet vrij uitgroeiend,9 tot 12 m.,1989,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,3,POINT(4.898593 52.369905),POINT(52.369905 4.898593),4.898593,52.369905,
25435,235436,Huntingdon-iep,339740,Ulmus hollandica `Vegeta`,Boom niet vrij uitgroeiend,15 tot 18 m.,1970,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,5,POINT(4.898508 52.369919),POINT(52.369919 4.898508),4.898508,52.369919,
25576,235577,Hollandse iep (cultuurvariëteit),340868,Ulmus hollandica `Belgica`,Boom niet vrij uitgroeiend,12 tot 15 m.,1950,Gemeente Amsterdam,Stadsdeel Centrum,Ulmus,Ulmus,A,4,POINT(4.899435 52.368794),POINT(52.368794 4.899435),4.899435,52.368794,
